sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_index_et","api_index_lt","api_lt","event_count","exec_time","result_count","savedsearch_name","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_index_et","__mv_api_index_lt","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"rt_md_1677873733.3","| metadata type=sourcetypes | search totalCount > 0","rhel.hwf.sc4s","1677873733.011265",1,"UI:Search",,,,,0,1677873733,0,,0,,,failed,"88.09100000000001",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search3_1677873791.4","search index=_internal  sourcetype=splunkd_ui_access user=$value$ `searchheadhosts` | top referer","rhel.hwf.sc4s","1677873791.796944",0,"UI:Dashboard:troubleshooting_indexer_cpu_drilldown","1677859380.000000000",0,0,"1677873791.000000000",0,1677873791,0,search3,2,"1677859380.000000000","1677873791.000000000",completed,"0.232",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search3_1677873811.5","search index=_internal  sourcetype=splunkd_ui_access user=$value$ `searchheadhosts` | top referer","rhel.hwf.sc4s","1677873811.108783",0,"UI:Dashboard:troubleshooting_indexer_cpu_drilldown","1677859380.000000000",0,0,"1677873811.000000000",0,1677873811,0,search3,60,"1677859380.000000000","1677873811.000000000",canceled,"0.202",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search3_1677873820.6","search index=_internal  sourcetype=splunkd_ui_access user=$value$ `searchheadhosts` | top referer","rhel.hwf.sc4s","1677873820.873823",0,"UI:Dashboard:troubleshooting_indexer_cpu_drilldown","1677872920.000000000",0,0,"1677873820.000000000",0,1677873820,0,search3,48,"1677872920.000000000","1677873820.000000000",completed,"0.1",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search2_1677873830.8","search index=_introspection `indexerhosts` sourcetype=splunk_resource_usage data.search_props.sid::*  data.search_props.app=*
| eval mem_used = 'data.mem_used' | eval app = 'data.search_props.app' | eval elapsed = 'data.elapsed' | eval label = 'data.search_props.label' 
| eval type = 'data.search_props.type' | eval mode = 'data.search_props.mode' | eval user = 'data.search_props.user' | eval cpuperc = 'data.pct_cpu'
| eval read_mb = 'data.read_mb'
| eval provenance='data.search_props.provenance' | eval label=coalesce(label, provenance)
| eval search_head = if(isnull('data.search_props.search_head'),""N/A"",'data.search_props.search_head')
| bin _time span=1m
| stats max(elapsed) as runtime max(mem_used) as mem_used earliest(_time) as Started, sum(cpuperc) AS totalCPU, max(read_mb) AS read_mb, avg(cpuperc) AS avgCPU by type, mode, app, user, label, data.pid, host
| stats sum(avgCPU) AS totalAVGCPU, sum(mem_used) AS totalMemUsed, sum(runtime) AS totalRuntime, sum(read_mb) AS totalReadMB, sum(totalCPU) AS totalCPU by Started, type, ""mode"", app, user, label
| eval totalMemUsed = round(totalMemUsed, 2)
| eval Started=strftime(Started,""%+"") 
| eval duration = tostring(totalRuntime, ""duration"")
| eval avgCPU = round(totalAVGCPU)
| eval totalCPU=tostring(totalCPU,""commas""), avgCPU=tostring(avgCPU,""commas"")
| sort - totalAVGCPU, totalMemUsed
| fields - totalRuntime, totalAVGCPU","rhel.hwf.sc4s","1677873830.724548",0,"UI:Dashboard:troubleshooting_indexer_cpu_drilldown","1677872930.000000000",0,0,"1677873830.000000000",9,1677873830,1,search2,21,"1677872930.000000000","1677873830.000000000",completed,"0.257",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search1_1677873858.9","search index=_introspection `indexerhosts` sourcetype=splunk_resource_usage data.search_props.sid::*  data.search_props.app=*
| eval mem_used = 'data.mem_used' | eval app = 'data.search_props.app' | eval elapsed = 'data.elapsed' | eval label = 'data.search_props.label' 
| eval type = 'data.search_props.type' | eval mode = 'data.search_props.mode' | eval user = 'data.search_props.user' | eval cpuperc = 'data.pct_cpu'
| eval read_mb = 'data.read_mb'
| eval sid='data.search_props.sid'
| eval provenance='data.search_props.provenance' | eval label=coalesce(label, provenance)
| eval search_head = if(isnull('data.search_props.search_head'),""N/A"",'data.search_props.search_head')
| stats max(elapsed) as runtime max(mem_used) as mem_used earliest(_time) as Started, sum(cpuperc) AS totalCPU, max(read_mb) AS read_mb, avg(cpuperc) AS avgCPUPerMinute by type, mode, app, user, label, host, data.pid, sid 
| stats sum(avgCPUPerMinute) AS totalAVGCPUPerMinute, sum(mem_used) AS totalMemUsed, sum(runtime) AS totalRuntime, sum(read_mb) AS totalReadMB, sum(totalCPU) AS totalCPU by Started, type, ""mode"", app, user, label, host, sid, data.pid
| eval totalMemUsed = round(totalMemUsed, 2)
| eval Started=strftime(Started,""%+"") 
| eval duration = tostring(totalRuntime, ""duration"")
| eval avgCPU = round(totalAVGCPUPerMinute)
| eval totalCPU=tostring(totalCPU,""commas""), avgCPU=tostring(avgCPU,""commas"")
| sort - totalRuntime, totalCPU
| fields - totalRuntime, totalAVGCPUPerMinute, sid","rhel.hwf.sc4s","1677873858.532332",0,"UI:Dashboard:troubleshooting_indexer_cpu_drilldown","1677872958.000000000",0,0,"1677873858.000000000",9,1677873858,1,search1,19,"1677872958.000000000","1677873858.000000000",completed,"0.192",,,,,,,,,,,,,,,,,,,
"rt_md_1677877499.28","| metadata type=sourcetypes | search totalCount > 0","rhel.hwf.sc4s","1677877499.195300",1,"UI:Search",,,,,0,1677877499,0,,0,,,failed,"76.092",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search1_1677890389.64","search index=_introspection `indexerhosts` sourcetype=splunk_resource_usage data.search_props.sid::*  data.search_props.app=*
| eval mem_used = 'data.mem_used' | eval app = 'data.search_props.app' | eval elapsed = 'data.elapsed' | eval label = 'data.search_props.label' 
| eval type = 'data.search_props.type' | eval mode = 'data.search_props.mode' | eval user = 'data.search_props.user' | eval cpuperc = 'data.pct_cpu'
| eval read_mb = 'data.read_mb'
| eval sid='data.search_props.sid'
| eval provenance='data.search_props.provenance' | eval label=coalesce(label, provenance)
| eval search_head = if(isnull('data.search_props.search_head'),""N/A"",'data.search_props.search_head')
| stats max(elapsed) as runtime max(mem_used) as mem_used earliest(_time) as Started, sum(cpuperc) AS totalCPU, max(read_mb) AS read_mb, avg(cpuperc) AS avgCPUPerMinute by type, mode, app, user, label, host, data.pid, sid 
| stats sum(avgCPUPerMinute) AS totalAVGCPUPerMinute, sum(mem_used) AS totalMemUsed, sum(runtime) AS totalRuntime, sum(read_mb) AS totalReadMB, sum(totalCPU) AS totalCPU by Started, type, ""mode"", app, user, label, host, sid, data.pid
| eval totalMemUsed = round(totalMemUsed, 2)
| eval Started=strftime(Started,""%+"") 
| eval duration = tostring(totalRuntime, ""duration"")
| eval avgCPU = round(totalAVGCPUPerMinute)
| eval totalCPU=tostring(totalCPU,""commas""), avgCPU=tostring(avgCPU,""commas"")
| sort - totalRuntime, totalCPU
| fields - totalRuntime, totalAVGCPUPerMinute, sid","rhel.hwf.sc4s","1677890389.948220",0,"UI:Dashboard:troubleshooting_indexer_cpu_drilldown","1677889489.000000000",0,0,"1677890389.000000000",0,1677890390,0,search1,0,"1677889489.000000000","1677890389.000000000",completed,"0.209",,,,,,,,,,,,,,,,,,,
"rt_md_1677941840.329","| metadata type=sourcetypes | search totalCount > 0","rhel.hwf.sc4s","1677941840.797374",1,"UI:Search",,,,,0,1677941840,0,,0,,,failed,"97.122",,,,,,,,,,,,,,,,,,,
"admin__admin__SplunkAdmins__search5_1677941912.330","search index=_internal `indexerhosts` ""replication queue for "" ""full"" OR ""has room now"" sourcetype=splunkd
| rename peer AS guid
| join guid
    [| rest /services/search/distributed/peers
    | table guid peerName]
| transaction bid guid endswith=""has room now"" keeporphans=true
| timechart span=1m count, max(duration) AS duration by peerName","rhel.hwf.sc4s","1677941912.319106",0,"UI:Dashboard:indexer_max_data_queue_sizes_by_name","1677938280.000000000",0,0,"1677941912.000000000",0,1677941912,0,search5,0,"1677938280.000000000","1677941912.000000000",completed,"0.612",,,,,,,,,,,,,,,,,,,
