sid,search,"splunk_server","_time","is_realtime",provenance,"api_index_et","api_index_lt","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_index_et","__mv_api_index_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search1_1677940455.215","search sourcetype=""forescout:OTSM:logs:useractivity"" | dedup host","rhel.hwf.sc4s","1677940455.684672",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940455,0,search1,0,completed,"0.244",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search2_1677940456.216","search sourcetype=""forescout:OTSM:logs:useractivity"" action=""Failed login""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""User IP"" user as ""Username"" otherInfo as ""Reason""
| table Date Time ""CC"" ""User IP"" Username Reason
| sort -time","rhel.hwf.sc4s","1677940456.091761",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940456,0,search2,0,completed,"0.275","1675314000.000000000","1677940456.000000000","1675314000.000000000","1677940456.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search3_1677940456.217","search sourcetype=""forescout:OTSM:logs:health"" AND monitoredVariable=""sensor connection""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time device as Sensor host as ""CC"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as ""Value""
| table Date Time CC Sensor ""Current Status"" ""Previous Status"" ""Value""
| sort -time","rhel.hwf.sc4s","1677940456.100296",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940456,0,search3,0,completed,"0.338","1675314000.000000000","1677940456.000000000","1675314000.000000000","1677940456.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search4_1677940456.218","search sourcetype=""forescout:OTSM:logs:useractivity""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""Client IP"" user as User resource as Resource action as Action otherInfo as Details
| table Date Time ""CC"" ""Client IP"" User Resource Action Details
| sort -time","rhel.hwf.sc4s","1677940456.104466",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940456,0,search4,0,completed,"0.323","1675314000.000000000","1677940456.000000000","1675314000.000000000","1677940456.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search5_1677940456.219","search sourcetype=""forescout:OTSM:logs:health""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as CC device as Sensor monitoredVariable as ""Health Area"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as Value
| table Date Time CC Sensor ""Health Area"" ""Current Status"" ""Previous Status"" Value
| sort -time","rhel.hwf.sc4s","1677940456.109623",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940456,0,search5,0,completed,"0.333","1675314000.000000000","1677940456.000000000","1675314000.000000000","1677940456.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search4_1677940487.220","search sourcetype=""forescout:OTSM:logs:useractivity""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""Client IP"" user as User resource as Resource action as Action otherInfo as Details
| table Date Time ""CC"" ""Client IP"" User Resource Action Details
| sort -time","rhel.hwf.sc4s","1677940487.194319",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940487,0,search4,0,completed,"0.23500000000000001","1675314000.000000000","1677940487.000000000","1675314000.000000000","1677940487.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search5_1677940487.221","search sourcetype=""forescout:OTSM:logs:health""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as CC device as Sensor monitoredVariable as ""Health Area"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as Value
| table Date Time CC Sensor ""Health Area"" ""Current Status"" ""Previous Status"" Value
| sort -time","rhel.hwf.sc4s","1677940487.199243",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940487,0,search5,0,completed,"0.234","1675314000.000000000","1677940487.000000000","1675314000.000000000","1677940487.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search3_1677940517.222","search sourcetype=""forescout:OTSM:logs:health"" AND monitoredVariable=""sensor connection""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time device as Sensor host as ""CC"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as ""Value""
| table Date Time CC Sensor ""Current Status"" ""Previous Status"" ""Value""
| sort -time","rhel.hwf.sc4s","1677940517.150352",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940517,0,search3,0,completed,"0.198","1675314000.000000000","1677940517.000000000","1675314000.000000000","1677940517.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search4_1677940518.223","search sourcetype=""forescout:OTSM:logs:useractivity""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""Client IP"" user as User resource as Resource action as Action otherInfo as Details
| table Date Time ""CC"" ""Client IP"" User Resource Action Details
| sort -time","rhel.hwf.sc4s","1677940518.400620",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940518,0,search4,0,canceled,"0.154","1675314000.000000000","1677940518.000000000","1675314000.000000000","1677940518.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search5_1677940518.224","search sourcetype=""forescout:OTSM:logs:health""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as CC device as Sensor monitoredVariable as ""Health Area"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as Value
| table Date Time CC Sensor ""Health Area"" ""Current Status"" ""Previous Status"" Value
| sort -time","rhel.hwf.sc4s","1677940518.412213",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677940518,0,search5,0,canceled,"0.197","1675314000.000000000","1677940518.000000000","1675314000.000000000","1677940518.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search1_1677941478.248","search sourcetype=""forescout:OTSM:logs:useractivity"" | dedup host","rhel.hwf.sc4s","1677941478.884052",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941478,0,search1,0,completed,"0.257",,,,,,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search2_1677941479.249","search sourcetype=""forescout:OTSM:logs:useractivity"" action=""Failed login""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""User IP"" user as ""Username"" otherInfo as ""Reason""
| table Date Time ""CC"" ""User IP"" Username Reason
| sort -time","rhel.hwf.sc4s","1677941479.318784",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941479,0,search2,0,completed,"0.438","1675314000.000000000","1677941479.000000000","1675314000.000000000","1677941479.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search3_1677941479.250","search sourcetype=""forescout:OTSM:logs:health"" AND monitoredVariable=""sensor connection""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time device as Sensor host as ""CC"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as ""Value""
| table Date Time CC Sensor ""Current Status"" ""Previous Status"" ""Value""
| sort -time","rhel.hwf.sc4s","1677941479.322467",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941479,0,search3,0,completed,"0.325","1675314000.000000000","1677941479.000000000","1675314000.000000000","1677941479.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search4_1677941479.251","search sourcetype=""forescout:OTSM:logs:useractivity""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as ""CC"" clientIP as ""Client IP"" user as User resource as Resource action as Action otherInfo as Details
| table Date Time ""CC"" ""Client IP"" User Resource Action Details
| sort -time","rhel.hwf.sc4s","1677941479.327821",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941479,0,search4,0,completed,"0.352","1675314000.000000000","1677941479.000000000","1675314000.000000000","1677941479.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search5_1677941479.252","search sourcetype=""forescout:OTSM:logs:health""
| search host=""*""
| rex field=time ""(?<time_short>\d.:\d.:\d.)""
| eval date_long = strftime(_time, ""%A, %B %e, %Y"")
| streamstats count as sno by date_long
| eventstats max(sno) as 'max' count as total
| eval date_long=if(total>max,date_long, if(sno=1,date_long, null()))
| rename date_long as Date time_short as Time host as CC device as Sensor monitoredVariable as ""Health Area"" previousHealthStatus as ""Previous Status"" currentHealthStatus as ""Current Status"" currentValue as Value
| table Date Time CC Sensor ""Health Area"" ""Current Status"" ""Previous Status"" Value
| sort -time","rhel.hwf.sc4s","1677941479.329735",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941479,0,search5,0,completed,"0.34500000000000003","1675314000.000000000","1677941479.000000000","1675314000.000000000","1677941479.000000000",,,,,,,,,,,,,,,,,,,
"admin__admin_Zm9yZXNjb3V0LW90LW5zbS1zcGx1bms__search1_1677941673.253","search sourcetype=""forescout:OTSM:logs:useractivity"" | dedup host","rhel.hwf.sc4s","1677941673.499676",0,"UI:Dashboard:dashboard_administrative",0,0,0,1677941673,0,search1,0,completed,"0.244",,,,,,,,,,,,,,,,,,,,,,,
