sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1677430800.1144","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677430800.931055",0,0,1677430801,1,0,completed,"0.081",,,,,,,,,,,
"1677430801.1145","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677430801.150124",0,0,1677430801,1,0,completed,"0.083",,,,,,,,,,,
"1677430801.1146","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677430801.156485",0,0,1677430801,1,0,completed,"0.112",,,,,,,,,,,
"1677430801.1147","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677430801.165312",0,0,1677430801,1,0,completed,"0.167",,,,,,,,,,,
"1677430801.1148","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677430801.171335",0,0,1677430801,1,0,completed,"0.149",,,,,,,,,,,
"1677430801.1149","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677430801.294629",0,0,1677430801,1,0,completed,"0.064",,,,,,,,,,,
"1677430801.1150","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677430801.336303",0,0,1677430801,1,0,completed,"0.092",,,,,,,,,,,
"1677430801.1151","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677430801.460603",0,0,1677430801,1,0,completed,"0.046",,,,,,,,,,,
"1677438000.1162","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677438000.640551",0,0,1677438000,1,0,completed,"0.196",,,,,,,,,,,
"1677438000.1163","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677438000.926395",0,0,1677438001,1,0,completed,"0.1",,,,,,,,,,,
"1677438000.1164","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677438000.957571",0,0,1677438001,1,0,completed,"0.09",,,,,,,,,,,
"1677438001.1165","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677438001.090712",0,0,1677438001,1,0,completed,"0.152",,,,,,,,,,,
"1677438001.1166","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677438001.095470",0,0,1677438001,1,0,completed,"0.20500000000000002",,,,,,,,,,,
"1677438001.1167","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677438001.186413",0,0,1677438001,1,0,completed,"0.14400000000000002",,,,,,,,,,,
"1677438001.1168","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677438001.191058",0,0,1677438001,1,0,completed,"0.132",,,,,,,,,,,
"1677438001.1169","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677438001.267945",0,0,1677438001,1,0,completed,"0.058",,,,,,,,,,,
"1677438001.1170","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677438001.422271",0,0,1677438001,1,0,completed,"0.019",,,,,,,,,,,
"1677438001.1171","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677438001.505350",0,0,1677438001,1,0,completed,"0.039",,,,,,,,,,,
"1677445200.1182","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677445200.654120",0,0,1677445200,1,0,completed,"0.434",,,,,,,,,,,
"1677445200.1183","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677445200.663462",0,0,1677445201,1,0,completed,"0.354",,,,,,,,,,,
"1677445201.1184","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677445201.437620",0,0,1677445201,1,0,completed,"0.136",,,,,,,,,,,
"1677445201.1185","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677445201.466667",0,0,1677445201,1,0,completed,"0.277",,,,,,,,,,,
"1677445201.1186","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677445201.578637",0,0,1677445201,1,0,completed,"0.192",,,,,,,,,,,
"1677445201.1187","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677445201.650058",0,0,1677445201,1,0,completed,"0.40700000000000003",,,,,,,,,,,
"1677445201.1188","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677445201.763815",0,0,1677445201,1,0,completed,"0.181",,,,,,,,,,,
"1677445201.1189","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677445201.964974",0,0,1677445202,1,0,completed,"0.223",,,,,,,,,,,
"1677445201.1190","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677445201.985133",0,0,1677445202,1,0,completed,"0.158",,,,,,,,,,,
"1677445202.1191","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677445202.392938",0,0,1677445202,1,0,completed,"0.055",,,,,,,,,,,
"1677445202.1192","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677445202.469362",0,0,1677445202,1,0,completed,"0.043000000000000003",,,,,,,,,,,
"1677445202.1193","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677445202.499375",0,0,1677445202,1,0,completed,"0.042",,,,,,,,,,,
"1677452400.1205","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677452400.561591",0,0,1677452400,1,0,completed,"0.193",,,,,,,,,,,
"1677452400.1206","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677452400.841195",0,0,1677452400,1,0,completed,"0.189",,,,,,,,,,,
"1677452400.1207","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677452400.981025",0,0,1677452401,1,0,completed,"0.058",,,,,,,,,,,
"1677452400.1208","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677452400.984274",0,0,1677452401,1,0,completed,"0.089",,,,,,,,,,,
"1677452401.1209","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677452401.000841",0,0,1677452401,1,0,completed,"0.115",,,,,,,,,,,
"1677452401.1210","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677452401.034382",0,0,1677452401,1,0,completed,"0.095",,,,,,,,,,,
"1677452401.1211","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677452401.155971",0,0,1677452401,1,0,completed,"0.045",,,,,,,,,,,
"1677452401.1212","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677452401.179141",0,0,1677452401,1,0,completed,"0.031",,,,,,,,,,,
"1677452401.1213","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677452401.209472",0,0,1677452401,1,0,completed,"0.044",,,,,,,,,,,
"1677452401.1214","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677452401.249321",0,0,1677452401,1,0,completed,"0.023",,,,,,,,,,,
"1677456000.1220","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677456000.753612",0,0,1677456000,1,0,completed,"0.054",,,,,,,,,,,
"1677456000.1221","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677456000.867665",0,0,1677456000,1,0,completed,"0.025",,,,,,,,,,,
"1677456000.1222","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677456000.901483",0,0,1677456000,1,0,completed,"0.033",,,,,,,,,,,
"1677456000.1224","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677456000.984200",0,0,1677456000,1,0,completed,"0.025",,,,,,,,,,,
"1677459600.1231","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677459600.389280",0,0,1677459600,1,0,completed,"0.148",,,,,,,,,,,
"1677459600.1232","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677459600.687757",0,0,1677459600,1,0,completed,"0.318",,,,,,,,,,,
"1677459600.1233","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677459600.716754",0,0,1677459600,1,0,completed,"0.167",,,,,,,,,,,
"1677459600.1234","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677459600.843645",0,0,1677459600,1,0,completed,"0.196",,,,,,,,,,,
"1677459601.1235","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677459601.056343",0,0,1677459601,1,0,completed,"0.097",,,,,,,,,,,
"1677459601.1236","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677459601.062172",0,0,1677459601,1,0,completed,"0.099",,,,,,,,,,,
"1677459601.1237","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677459601.144131",0,0,1677459601,1,0,completed,"0.078",,,,,,,,,,,
"1677459601.1238","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677459601.189922",0,0,1677459601,1,0,completed,"0.036000000000000004",,,,,,,,,,,
"1677459601.1239","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677459601.231055",0,0,1677459601,1,0,completed,"0.028",,,,,,,,,,,
"1677459601.1240","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677459601.283274",0,0,1677459601,1,0,completed,"0.045",,,,,,,,,,,
"1677466800.1251","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677466800.495343",0,0,1677466800,1,0,completed,"0.311",,,,,,,,,,,
"1677466800.1252","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677466800.594455",0,0,1677466800,1,0,completed,"0.245",,,,,,,,,,,
"1677466800.1253","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677466800.626193",0,0,1677466800,1,0,completed,"0.045",,,,,,,,,,,
"1677466800.1254","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677466800.941523",0,0,1677466800,1,0,completed,"0.129",,,,,,,,,,,
"1677466800.1255","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677466800.956396",0,0,1677466801,1,0,completed,"0.123",,,,,,,,,,,
"1677466801.1256","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677466801.097220",0,0,1677466801,1,0,completed,"0.084",,,,,,,,,,,
"1677466801.1257","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677466801.106418",0,0,1677466801,1,0,completed,"0.018000000000000002",,,,,,,,,,,
"1677466801.1258","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677466801.227928",0,0,1677466801,1,0,completed,"0.018000000000000002",,,,,,,,,,,
"1677466801.1259","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677466801.239212",0,0,1677466801,1,0,completed,"0.021",,,,,,,,,,,
"1677466801.1260","| rest services/server/info | sort splunk_server","rhel.hwf.sc4s","1677466801.262665",0,0,1677466801,1,0,completed,"0.057",,,,,,,,,,,
"1677474000.1271","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677474000.530144",0,0,1677474000,1,0,completed,"0.3",,,,,,,,,,,
"1677474000.1272","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677474000.728341",0,0,1677474001,1,0,completed,"0.377",,,,,,,,,,,
"1677474001.1273","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677474001.021510",0,0,1677474001,1,0,completed,"0.273",,,,,,,,,,,
"1677474001.1274","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677474001.026089",0,0,1677474001,1,0,completed,"0.17400000000000002",,,,,,,,,,,
"1677474001.1275","| rest splunk_server=local services/server/info","rhel.hwf.sc4s","1677474001.181666",0,0,1677474001,1,0,completed,"0.151",,,,,,,,,,,
