sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time"
"1677118621.5","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677118621.404592",0,0,1677118621,0,0,canceled,"0.209",,,,,,,,,,,
"1677122220.15","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677122220.907353",0,0,1677122220,0,0,canceled,"0.326",,,,,,,,,,,
"1677125820.20","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677125820.744468",0,0,1677125820,0,0,canceled,"0.215",,,,,,,,,,,
"1677129421.35","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677129421.115014",0,0,1677129421,0,0,canceled,"0.20500000000000002",,,,,,,,,,,
"1677133020.46","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677133020.375192",0,0,1677133020,0,0,canceled,"0.211",,,,,,,,,,,
"1677136620.61","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677136620.751179",0,0,1677136620,0,0,canceled,"0.20700000000000002",,,,,,,,,,,
"1677140220.113","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677140220.314707",0,0,1677140220,0,0,canceled,"0.203",,,,,,,,,,,
"1677143820.132","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677143820.560038",0,0,1677143820,0,0,canceled,"0.217",,,,,,,,,,,
"1677147420.137","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677147420.873002",0,0,1677147420,0,0,canceled,"0.219",,,,,,,,,,,
"1677151021.152","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677151021.194826",0,0,1677151021,0,0,canceled,"0.203",,,,,,,,,,,
"1677154620.163","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677154620.272666",0,0,1677154620,0,0,canceled,"0.214",,,,,,,,,,,
"1677158220.178","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677158220.524863",0,0,1677158220,0,0,canceled,"0.261",,,,,,,,,,,
"1677161820.183","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677161820.666329",0,0,1677161820,0,0,canceled,"0.20500000000000002",,,,,,,,,,,
"1677165420.198","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677165420.882321",0,0,1677165420,0,0,canceled,"0.20400000000000001",,,,,,,,,,,
"1677169021.203","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677169021.133235",0,0,1677169021,0,0,canceled,"0.212",,,,,,,,,,,
"1677172621.218","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677172621.327007",0,0,1677172621,0,0,canceled,"0.312",,,,,,,,,,,
"1677176220.223","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677176220.585920",0,0,1677176220,0,0,canceled,"0.23800000000000002",,,,,,,,,,,
"1677179820.238","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677179820.915660",0,0,1677179820,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1677183421.243","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677183421.228130",0,0,1677183421,0,0,canceled,"0.20800000000000002",,,,,,,,,,,
"1677187020.261","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677187020.422304",0,0,1677187020,0,0,canceled,"0.218",,,,,,,,,,,
"1677190620.266","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677190620.655358",0,0,1677190620,0,0,canceled,"0.20800000000000002",,,,,,,,,,,
"1677194220.281","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677194220.764300",0,0,1677194220,0,0,canceled,"0.212",,,,,,,,,,,
"1677197821.292","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677197821.026966",0,0,1677197821,0,0,canceled,"0.226",,,,,,,,,,,
"1677201420.307","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677201420.340061",0,0,1677201420,0,0,canceled,"0.214",,,,,,,,,,,
"1677205020.312","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677205020.588718",0,0,1677205020,0,0,canceled,"0.20400000000000001",,,,,,,,,,,
"1677208620.327","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677208620.839453",0,0,1677208620,0,0,canceled,"0.229",,,,,,,,,,,
"1677212221.332","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677212221.102793",0,0,1677212221,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1677215821.347","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677215821.143181",0,0,1677215821,0,0,canceled,"0.218",,,,,,,,,,,
"1677219420.358","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677219420.441110",0,0,1677219420,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1677223020.373","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677223020.871171",0,0,1677223020,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1677226620.425","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677226620.392438",0,0,1677226620,0,0,canceled,"0.20600000000000002",,,,,,,,,,,
"1677230220.444","| copybuckets json=""{\""vixes\"": {}, \""providers\"": {}}""","rhel.hwf.sc4s","1677230220.692446",0,0,1677230220,0,0,canceled,"0.217",,,,,,,,,,,
